cF,GF,CFF
627.3074528202415,70.37684608123473,8.91354881257611
325.15539852902293,76.9,4.228288667477541
373.5623517073691,8.312099908161214,44.941994903187805
629.1091638617218,26.457615217592323,23.777999592473154
487.36633537337184,6.3314305908266295,76.97570531366142
317.6265771500766,6.017526205269946,52.78358021472511
312.9972151480615,37,8.459384193190852
323.37768096476793,0.3214414059834472,1006.0237260828196
443.84948862716556,64.75,6.854818357176302
392.6888375543058,14.626195740410186,26.848323687434323
389.6901679225266,12,32.47418066021055
373.05554235354066,16.087790693251794,23.188736692728295
625.4872451536357,30.594424272510178,20.44448490294524
688.2648923434317,7.358958396124214,93.52748789909239
352.71495738998055,26.412461085779924,13.354111767338374
409.57783218473196,96.24116756805336,4.255744631268259
656.963909137994,104.87426883557268,6.264300256224109
686.9164190255105,11.37875055533333,60.36835201590268
585.7212631031871,50,11.714425262063742
621.105738542974,86.91383008654088,7.146224460762268
576.0824679397047,88.40867142092173,6.516130812518645
557.8354650177062,86.90461299075298,6.418939637612358
320.2204301021993,74.63044240532881,4.290748115400891
690.559540130198,76.8,8.99166067877862
406.89332969486713,14.87322296341706,27.35744167190143
554.5830806717277,57.99618755450278,9.562405807287762
498.3967101201415,34.461353891827144,14.46248199315063
601.4104328118265,21.7,27.714766489024264
452.1640768274665,66.90165467940037,6.758638168133261
410.9223248437047,7.6077859668457375,54.0133918901608
315.88061349466443,31,10.189697209505304
310.70003444328904,32.86809966752789,9.452935751872682
526.6883471980691,59.533539925140644,8.8469180206711
446.1337022483349,33,13.51920309843439
356.4451586455107,7.993755718613084,44.59044924472046
521.5200045146048,82.7896990676787,6.299334462953828
520.6345748156309,6.665831001585415,78.10497666259496
353.5517097450793,44,8.035266130569983
634.567285887897,18.192475727225464,34.88075484626055
401.9701486453414,50.88798168797047,7.899117538402275
437.7302679233253,74.20791170782346,5.898700796847475
320.665474049747,12.488149,25.67758232623161
536.4579844288528,5.637765247958186,95.15436717113049
647.0644481480122,22.4,28.886805720893403
389.4175037741661,12.488149,31.182964246676278
666.8637803755701,12,55.57198169796417
682.3039066977799,90.2,7.56434486361175
654.7316792421043,137.7016602617989,4.754711584430616
595.5075610429049,21.505549462182717,27.690878677157198
628.4058974124491,29.1,21.594704378434677
506.03986866772175,12.5419,40.34794318785206
586.9381657801569,16.84845958495351,34.83631027636028
563.7799100019038,24,23.49082958341266
463.42429388314486,8.338702341695459,55.575109278804106
533.1110109575093,5.037072601652148,105.83746813231362
541.1070551723242,49,11.0430011259658
628.3457851037383,27.568125891861957,22.792473727393432
574.6100997552276,56.73653357733712,10.127691339689992
519.0853530541062,301,1.7245360566581602
575.787828490138,22.7,25.365102576658064
596.1530124768615,8.846710365255618,67.3869707341364
365.4175844043493,24.796403846045767,14.736716931742574
611.5336606279016,28,21.840487879567913
538.1613677367568,96.8231521305177,5.5581888824618595
448.22756815701723,32.84791439293984,13.645541168767686
473.90672927722335,12.488149,37.94851657176923
560.0477389991283,22.083221168298433,25.360781143790057
530.3998686373234,9.6290240896221,55.08345017113146
366.1862284876406,89.06815667899487,4.111303547095851
